INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2022-02-01T08:00:00-00:00,2022-02-01T08:15:00-00:00,2022-02-01,01,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,48.73762,1,1
2022-02-01T09:00:00-00:00,2022-02-01T09:15:00-00:00,2022-02-01,02,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,47.36191,1,1
2022-02-01T10:00:00-00:00,2022-02-01T10:15:00-00:00,2022-02-01,03,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,49.05951,1,1
2022-02-01T11:00:00-00:00,2022-02-01T11:15:00-00:00,2022-02-01,04,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,48.68276,1,1
2022-02-01T12:00:00-00:00,2022-02-01T12:15:00-00:00,2022-02-01,05,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,48.43528,1,1
2022-02-01T13:00:00-00:00,2022-02-01T13:15:00-00:00,2022-02-01,06,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,49.6799,1,1
2022-02-01T14:00:00-00:00,2022-02-01T14:15:00-00:00,2022-02-01,07,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,53.77284,1,1
2022-02-01T15:00:00-00:00,2022-02-01T15:15:00-00:00,2022-02-01,08,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,77.77685,1,1
2022-02-01T16:00:00-00:00,2022-02-01T16:15:00-00:00,2022-02-01,09,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,96.13008,1,1
2022-02-01T17:00:00-00:00,2022-02-01T17:15:00-00:00,2022-02-01,10,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,41.38941,1,1
2022-02-01T18:00:00-00:00,2022-02-01T18:15:00-00:00,2022-02-01,11,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,38.7978,1,1
2022-02-01T19:00:00-00:00,2022-02-01T19:15:00-00:00,2022-02-01,12,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,35.28841,1,1
2022-02-01T20:00:00-00:00,2022-02-01T20:15:00-00:00,2022-02-01,13,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,31.48111,1,1
2022-02-01T21:00:00-00:00,2022-02-01T21:15:00-00:00,2022-02-01,14,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,23.72863,1,1
2022-02-01T22:00:00-00:00,2022-02-01T22:15:00-00:00,2022-02-01,15,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,34.67695,1,1
2022-02-01T23:00:00-00:00,2022-02-01T23:15:00-00:00,2022-02-01,16,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,22.99645,1,1
2022-02-02T00:00:00-00:00,2022-02-02T00:15:00-00:00,2022-02-01,17,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,39.65951,1,1
2022-02-02T01:00:00-00:00,2022-02-02T01:15:00-00:00,2022-02-01,18,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,63.51321,1,1
2022-02-02T02:00:00-00:00,2022-02-02T02:15:00-00:00,2022-02-01,19,0096WD_7_N002,0096WD_7_N002,0096WD_7_N002,RTPD,LMP,LMP_PRC,0096WD_7_N002,ALL,1,84.08501,1,1
